ID,Latitude,Longitude,Easting,Northing
CB001,38.98123,-106.99833000000001,326907.99286,4316592.92486
CB047,38.98003,-106.99963000000001,326792.454302,4316462.21549
CB061,38.98498,-107.00957,325943.505859,4317030.5506
CB063,38.98808,-107.00797,326089.68891799997,4317371.54645
CB068,38.9609,-106.99268000000001,327348.054704,4314325.87857
CB073,38.95057,-106.98807,327722.492302,4313170.6810099995
CB074,38.94345,-106.98163000000001,328263.415292,4312368.3147
CB075,38.94842,-106.97733000000001,328648.07370500005,4312911.80908
CB077,38.95247,-106.97548,328818.15136,4313357.81666
CB078,38.95255,-106.97296999999999,329035.861625,4313361.98161
CB081,38.95532,-106.97228,329102.313115,4313668.11285
CB082,38.955529999999996,-106.97587,328791.719753,4313698.161169999
CB083,38.9548,-106.97873,328542.121316,4313622.52226
CB085,38.95718,-106.98833,327715.97187199997,4313904.77924
CB086,38.95548,-106.98846999999999,327699.721615,4313716.3706
CB087,38.951679999999996,-106.98923,327624.65309499996,4313296.067969999
CB088,38.951,-106.98965,327586.606964,4313221.39347
CB090,38.95073,-106.99233000000001,327353.69607199996,4313196.50346
CB092,38.95417,-106.99353,327258.055175,4313580.56472
CB093,38.95543,-106.99313000000001,327295.778291,4313719.64661
CB100,38.97083,-106.99016999999999,327589.630182,4315423.20015
CB102,38.97617,-106.9895,327660.62653,4316014.58999
CB103,38.9795,-106.99,327625.38815,4316385.1158300005
CB151,38.98917,-107.0123,325717.309416,4317500.8024
CB154,38.99423,-107.01468,325523.592924,4318066.94816
CB156,38.99665,-107.01495,325506.154314,4318336.050530001
CB158,38.996179999999995,-107.01867,325182.818864,4318291.0267199995
CB159,38.9975,-107.01883000000001,325172.211311,4318437.83494
CB160,38.99795,-107.02082,325000.974109,4318491.60336
CB162,39.000370000000004,-107.0231,324809.48403600004,4318764.57547
CB163,39.00143,-107.02383,324748.880395,4318883.62592
CB164,39.0021,-107.023,324822.412565,4318956.3880900005
CB165,39.00318,-107.02682,324494.268154,4319083.61373
CB167,39.00448,-107.02795,324399.62639299995,4319230.07537
CB168,39.00415,-107.0292,324290.562554,4319195.86319
CB169,39.00543,-107.02993000000001,324230.515036,4319339.33496
CB170,39.00548,-107.03448,323836.624723,4319353.68386
CB177,38.997370000000004,-107.02218,324881.76023200003,4318429.84793
CB182,39.00495,-107.01783,325277.151053,4319262.75669
CB189,38.99412,-107.02988,324206.84665900003,4318083.99005
CB283,38.95143,-106.99107,327464.589186,4313271.80528
CB322,38.95917,-106.98428,328071.735537,4314117.98536
CB323,38.95915,-106.98408,328089.01768499997,4314115.38816
CB324,38.95963,-106.9828,328201.092536,4314166.24546
CB326,38.96025,-106.98088,328368.96062800003,4314231.435869999
CB327,38.96058,-106.98048,328404.417421,4314267.307
CB328,38.96082,-106.98028000000001,328422.32666799997,4314293.56645
CB329,38.96113,-106.98002,328445.603693,4314327.481819999
CB333,38.96202,-106.98116999999999,328348.104636,4314428.42472
CB335,38.961220000000004,-106.98201999999999,328272.520925,4314341.2396
CB336,38.96143,-106.98257,328225.370751,4314365.58351
CB337,38.96177,-106.98518,328000.037403,4314408.244109999
CB338,38.96278,-106.98496999999999,328020.676677,4314519.94181
CB339,38.96375,-106.98555,327972.767683,4314628.69215
CB340,38.96353,-106.98818,327744.353258,4314609.246780001
CB341,38.96342,-106.98841999999999,327723.291396,4314597.49245
CB342,38.9631,-106.9879,327767.572864,4314560.99388
CB345,38.96367,-106.991,327500.347732,4314630.122269999
CB347,38.9627,-106.99005,327580.310225,4314520.66829
CB350,38.96152,-106.98945,327629.438634,4314388.570830001
CB351,38.96165,-106.98877,327688.675446,4314401.712040001
CB352,38.96198,-106.98827,327732.799702,4314437.39105
CB353,38.96192,-106.98756999999999,327793.308761,4314429.40816
CB355,38.95978,-106.99101999999999,327489.177346,4314198.4304
CB357,38.96123,-106.99393,327240.543371,4314364.87383
CB358,38.9609,-106.9926,327354.986742,4314325.72691
CB359,38.95925,-106.99083,327504.355555,4314139.2487699995
CB361,38.96138,-106.9919,327416.807087,4314377.672780001
CB362,38.96203,-106.99265,327353.397918,4314451.23422
CB363,38.96373,-106.99308,327320.267515,4314640.7232
CB364,38.964220000000005,-106.99305,327324.056976,4314695.04876
CB367,38.96697,-106.99535,327131.456969,4315004.62005
CB369,38.96832,-106.9945,327208.38495599997,4315152.83611
CB370,38.969570000000004,-106.99577,327101.390635,4315293.97762
CB371,38.97047,-106.99668,327024.738373,4315395.59214
CB373,38.9725,-106.9972,326984.62746399996,4315621.87915
CB374,38.97252,-106.99668,327029.727046,4315623.11089
CB375,38.96982,-106.99548,327127.12419899995,4315321.1732
CB376,38.96022,-106.9831,328176.522593,4314232.29216
CB377,38.9605,-106.98418000000001,328083.616242,4314265.4058300005
CB381,38.96577,-106.9889,327687.396229,4314859.21421
CB382,38.96627,-106.9906,327541.313477,4314917.92455
CB383,38.96732,-106.99087,327520.46709499997,4315034.96973
CB385,38.97397,-106.9924,327404.05161799997,4315775.91689
CB388,38.980579999999996,-106.9942,327264.176902,4316512.94018
CB391,38.9867,-107.00161999999999,326636.341969,4317206.27364
CB392,38.988170000000004,-107.00288,326530.791511,4317371.822269999
CB394,38.98813,-107.00643000000001,326223.20213499997,4317374.15444
CB399,38.9871,-107.00725,326149.655194,4317261.40556
CB401,38.98657,-107.00647,326215.921233,4317201.09396
CB405,38.9856,-107.00563000000001,326286.30960599997,4317091.835
CB406,38.98535,-107.00463,326372.319094,4317062.180819999
CB407,38.98442,-107.00341999999999,326474.858759,4316956.65742
CB408,38.98397,-107.00357,326460.766314,4316907.00009
CB410,38.97995,-107.00022,326741.149185,4316454.45939
CB412,38.97728,-106.99977,326773.62296,4316157.27333
CB414,38.97525,-106.99837,326889.961042,4315929.31125
CB416,38.97498,-106.99651999999999,327049.575081,4315895.82955
CB417,38.97443,-106.99632,327065.56347199995,4315834.408009999
CB418,38.97322,-106.9962,327073.015579,4315699.8885
CB475,38.9027,-107.01103,325615.491099,4307901.53875
CB477,38.9061,-107.02152,324714.145346,4308298.99703
CB478,38.908879999999996,-107.02481999999999,324434.828227,4308613.88179
CB479,38.92348,-107.03971999999999,323179.03675,4310263.05114
CB480,38.93335,-107.05157,322176.337434,4311381.52664
RP290,39.007670000000005,-106.99885,326927.391312,4319528.36164
RP295,38.99812,-106.9812,328432.688913,4318435.02825
RP296,38.96992,-107.02673,324419.87758800003,4315392.06445
